SKU,FSN,Title,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Other Feature,Description,Highlights,Variation,Rating,Review,RPDV2
CM500BLK42,BOTGTG33QAFB6FS2,,,,,,,,,,,,,,
FGBOL0500BL,BOTF7Q4VWJZDDCWX,,,,,,,,,,,,,,
BT0800TL103,BOTG7QTMGRKJG2EQ,,,,,,,,,,,,,,
HDECOCOPPER,BOTGNAWVZYBQS68G,,,,,,,,,,,,,,
BVBTWMGRN750,BOTGYDWKF35XQDTE,,,,,,,,,,,,,,
FLKT20LOY11,BOTGY4M47XHMD347,,,,,,,,,,,,,,
B1000BK01,BOTGG7FUPT8X6YTF,,,,,,,,,,,,,,
BT300BLK110,BOTFZYCFZMYFH6VT,,,,,,,,,,,,,,
FGFTL500BLU,BOTFZYCFGZESM8QB,,,,,,,,,,,,,,
BT0800TF104,BOTG7QTMJ2MNNST2,,,,,,,,,,,,,,
BT0700GRN401,BOTFZP6EZBHYSUGZ,,,,,,,,,,,,,,
FLKT15SS21,BOTGY4M4RPHRKHYC,,,,,,,,,,,,,,
BT0800TA101,BOTG7QTMGJFX7ZBZ,,,,,,,,,,,,,,
BT0800TB105,BOTG7QTMSVSG7SF9,,,,,,,,,,,,,,
FLKT75RED14,BOTGY4M4A9XNC8HG,,,,,,,,,,,,,,
BVBTWMPIN750,BOTGYDWKQGGN6Z9X,,,,,,,,,,,,,,
FGFTL1000BL,BOTF7Q4VNDMUCYEW,,,,,,,,,,,,,,
BT360RG120,BOTFMYYRWBRY4F4T,,,,,,,,,,,,,,
FGFTL1LSLBL,BOTGCFGZSGJHTFPD,,,,,,,,,,,,,,
BNOV500BKAZN,BOTGUAFVPRYVWFAD,,,,,,,,,,,,,,
BT900GRNAZN,BOTGUAFVSYAHGTVQ,,,,,,,,,,,,,,
FGBOL75BL1,BOTG4JRXGHVGGCXJ,,,,,,,,,,,,,,
ISFGBO1001S,BOTG4JRX4JHPMB5T,,,,,,,,,,,,,,
HDSSLCOPPER,BOTGCFGZW79QGNGM,,,,,,,,,,,,,,
FGFTL1001BL,BOTG4JRXBNGCM3HN,,,,,,,,,,,,,,
BT500BLK102,BOTF8SFCDAXTCQXP,,,,,,,,,,,,,,
BCR0900BLK44,BOTGUGVYFNCB8U7C,,,,,,,,,,,,,,
BT850BLK102,BOTFMYYRVVJR3ZTK,,,,,,,,,,,,,,
BCR0900GRN45,BOTGUGWXUFKYYZJG,,,,,,,,,,,,,,
BT300WHE131,BOTGJF7ZQU9ZDNXS,,,,,,,,,,,,,,
BT400SSB106,BOTFZYCFPENA9GKZ,,,,,,,,,,,,,,
B0560TI02,BOTGGUYFZVRDGHPY,,,,,,,,,,,,,,
BT0800TS102,BOTG7QTMKFEH2DVN,,,,,,,,,,,,,,
BT0500BP201_1,BOTFG83NTGJ33GR5,,,,,,,,,,,,,,
FGFTL750BLA,BOTF7Q4VZEHYBHZF,,,,,,,,,,,,,,
BT600BK125,BOTG8RVDK9STDFDG,,,,,,,,,,,,,,
BSW1000SS11-4,BOTGZENG4J6YWA8G,,,,,,,,,,,,,,
ISFGSP0350S_1,BOTFTRH4WUTQZWDM,,,,,,,,,,,,,,
BOCOS320GD,BOTGTG32QSZPFUDS,,,,,,,,,,,,,,
HDECOCOPRBRN,BOTGR5STHACH2R5A,,,,,,,,,,,,,,
BT600TL136,BOTGTG34QY5EVW7Y,,,,,,,,,,,,,,
BT600VT134,BOTGTG34S6RZVCWF,,,,,,,,,,,,,,
BVCRTGLACNR1L,BOTGTNZ55HQQXAPP,,,,,,,,,,,,,,
BVUNEBGP75003,BOTGR5Z6RFHTNB9V,,,,,,,,,,,,,,
BVBTWMPIN75002,BOTGS2VEKGTAFAM7,,,,,,,,,,,,,,
BVNGBBLS55003,BOTGR5Z4VATAUJ2F,,,,,,,,,,,,,,
BVUNEBGP55003,BOTGR5Z5TASHYDVT,,,,,,,,,,,,,,
BVCRTGLAC1000,BOTGTNZ6G3EGZ48T,,,,,,,,,,,,,,
BVBTWMBLU75002,BOTGS2XKNNGZMY5V,,,,,,,,,,,,,,
BVBTWMGRN75003,BOTGS2XCVGFQW9GF,,,,,,,,,,,,,,
BVNRSINSS550,BOTGTNZ64YFSFJKW,,,,,,,,,,,,,,
BVNRGLACS550,BOTGTNZ6GW3NXQM3,,,,,,,,,,,,,,
BVCRTMSIN1000,BOTGTNZ63ZXC4HFZ,,,,,,,,,,,,,,
BVNEOSINSS550,BOTGTNZ6TGTJ9AHR,,,,,,,,,,,,,,
BVNRROMAS550,BOTGTNZ6DPXMHCCZ,,,,,,,,,,,,,,
EASYSIPS3C,BOTGZVJZ6ZFKEXY6,,,,,,,,,,,,,,
BT500TM112,BOTFMYYRHH9FNB2A,,,,,,,,,,,,,,
FLKT50SSB11,BOTGY4M4HKJ5WS74,,,,,,,,,,,,,,
BOCOS320BL,BOTGTG34ETAEDCGA,,,,,,,,,,,,,,
BT600SE133,BOTGKQKPYZAUCAK9,,,,,,,,,,,,,,
B0560TI01,BOTGGUYHEUZ3GADV,,,,,,,,,,,,,,
FGFTL350BLA,BOTF7Q4VTVNEZQWZ,,,,,,,,,,,,,,
ICSWDSS1000EC,BOTFVEJQU7QXKYSQ,,,,,,,,,,,,,,
ICSLMPK1000EC,BOTFVEJRVGNPCH2N,,,,,,,,,,,,,,
ICSLMSS1000EC,BOTFVEJRQEKBEJUT,,,,,,,,,,,,,,
BTU0500BLK36,BOTGTG35Y33HSM44,,,,,,,,,,,,,,
ICSLMBL550MEC,BOTFVEJQFGBETUXH,,,,,,,,,,,,,,
BVBTWMGRN75004,BOTGS2VEN24VMHG4,,,,,,,,,,,,,,
BVBTWMBLU75004,BOTGS2VEGFEGGZVP,,,,,,,,,,,,,,
BVBTWMBLU75003,BOTGS2VEVUWTZDXJ,,,,,,,,,,,,,,
BVBTWMGRN75002,BOTGS2XCWXE4NHYY,,,,,,,,,,,,,,
BVBTWMPIN75003,BOTGS2XH7RCYYYX2,,,,,,,,,,,,,,
BVUNEPNK55002,BOTGRZTDTGFGDAJK,,,,,,,,,,,,,,
BVUNEBLU55003,BOTGRZTDJBRF2KQT,,,,,,,,,,,,,,
BVUNEGRN55002,BOTGRZTDBZXXCV3G,,,,,,,,,,,,,,
BVUNEPNK55004,BOTGRZTDUKTJSHHQ,,,,,,,,,,,,,,
BVBTWMPIN75004,BOTGS2VENDU5SWXZ,,,,,,,,,,,,,,
BVUNEPNK55003,BOTGRZTDRAWCHQDK,,,,,,,,,,,,,,
BVUNEBLU55004,BOTGRZTDB2DQYJKQ,,,,,,,,,,,,,,
BVUNEGRN55004,BOTGRZTDU2DVAZAQ,,,,,,,,,,,,,,
ICSLMSS550M02,BOTGR5Z5ZMX4C6UN,,,,,,,,,,,,,,
BVUNEBLU55002,BOTGRZTD2YXC6USB,,,,,,,,,,,,,,
ICSWDSS100002,BOTGR5Z6PHNFRGYB,,,,,,,,,,,,,,
ICSLMPK550M02,BOTGR5Z4FCYVAZU7,,,,,,,,,,,,,,
ICSLMPK550M03,BOTGR5NZND8NHTGU,,,,,,,,,,,,,,
BVBTCWM750SS03,BOTGR5Z4R72ZYYX2,,,,,,,,,,,,,,
ICSLMBL100003,BOTGR5ZYCE9REKPA,,,,,,,,,,,,,,
ICSWDBL100002,BOTGR5Z4Q6MQ3PJK,,,,,,,,,,,,,,
BVUNEGRN55003,BOTGRZTDBMWZPCTM,,,,,,,,,,,,,,
BVBTCWM750SS02,BOTGR5ZYMSVS5YHV,,,,,,,,,,,,,,
BVNEOGBSS55003,BOTGR5Z62FCEBEFX,,,,,,,,,,,,,,
ICSLMSS550M03,BOTGR5ZYB2GFHZYG,,,,,,,,,,,,,,
BVNGBBLS55002,BOTGR5Z4NYGBWARN,,,,,,,,,,,,,,
ICSLMBL100002,BOTGR5ZYYUBFGBQJ,,,,,,,,,,,,,,
ICSLMSS100002,BOTGR5Z64YBVNEGG,,,,,,,,,,,,,,
ICSLMBL550M02,BOTGR5Z5ZAN8VUFR,,,,,,,,,,,,,,
BVNEOGBSS55002,BOTGR5Z7UMVBTWCF,,,,,,,,,,,,,,
ICSLMSS100003,BOTGR5Z6JUJZZ4MZ,,,,,,,,,,,,,,
ICSLMBL550M03,BOTGR5Z4UUN5AX4Y,,,,,,,,,,,,,,
,MOBGTAGPAQNVFZZY,,,,,,,,,,,,,,
,MOBGHWFHECFVMDCX,,,,,,,,,,,,,,
,MOBGTAGPTB3VS24W,,,,,,,,,,,,,,
